1	cocoa,el-salvador,usa,uruguay
2	usa
3	usa
4	usa,brazil
5	grain,wheat,corn,barley,oat,sorghum,usa
6	veg-oil,linseed,lin-oil,soy-oil,sun-oil,soybean,oilseed,corn,sunseed,grain,sorghum,wheat,argentina
7	usa
8	usa
9	earn,usa
10	acq,usa
11	earn,usa
12	earn,acq,usa
13	earn,usa
14	earn,usa
15	usa
16	usa,brazil
17	usa
18	earn,usa
19	wheat,grain,yemen-arab-republic,usa
20	usa
21	usa
22	copper,usa
23	earn,usa
24	earn,usa
25	usa
26	usa,brazil,venezuela
27	earn,usa
28	usa,reagan
29	housing,usa
30	money-supply
31	usa
32	usa
33	usa
34	usa
35	usa
36	earn,usa
37	earn,usa
38	earn,usa
39	usa
40	earn,canada
41	earn,usa
42	coffee,uk,ico-coffee
43	usa,iran
44	acq,ship,usa
45	acq,usa
46	sugar,usa
47	trade,brazil
48	reserves,new-zealand
49	ship,usa,panama
50	earn,usa
51	usa
52	usa
53	earn,usa
54	usa
55	usa
56	earn,usa
57	grain,corn,usa,honduras
58	money-supply,usa
59	ship,usa
60	argentina
61	usa
62	usa
63	canada,wilson
64	earn,usa
65	earn,usa
66	earn,usa
67	usa
68	acq,usa
69	veg-oil,soybean,oilseed,meal-feed,soy-meal,usa
70	usa
71	earn,usa
72	usa
73	usa
74	earn,usa
75	coffee,uk,ico-coffee
76	money-supply,usa
77	money-supply,usa
78	money-supply,usa
79	canada,maxwell
80	money-supply,usa
81	money-supply,usa
82	earn,usa,philippines
83	earn,usa
84	usa
85	earn,usa
86	earn,usa
87	earn,usa
88	usa
89	earn,usa
90	usa
91	usa
92	money-supply,usa
93	earn,canada
94	money-supply,usa
95	money-supply,usa
96	acq,usa
97	grain,wheat,corn,oat,rye,sorghum,soybean,oilseed,usa
98	earn,usa
99	money-supply,usa
100	money-supply,new-zealand
101	money-supply,usa
102	money-supply,usa
103	money-supply,usa
104	cotton,usa
105	sugar,usa
106	grain,ship,usa
107	iran,iraq
108	earn,usa
109	money-supply,usa
110	acq,usa
111	money-supply,usa
112	usa
113	earn,usa
114	usa
115	usa
116	usa
117	usa
118	usa
119	usa
120	usa
121	carcass,livestock,usa,china
122	usa,nyse
123	earn,canada
124	grain,usa
125	acq,usa
126	earn,usa
127	crude,usa
128	acq,usa
129	earn
130	earn,usa
131	usa
132	money-supply,usa
133	money-supply,usa
134	acq,usa
135	acq,usa
136	grain,usa
137	venezuela
138	earn,usa
139	earn,usa
140	earn,canada
141	usa
142	earn,usa
143	earn,usa
144	crude,usa,opec
145	earn,usa
146	earn,canada
147	earn,usa
148	usa
149	usa
150	usa
151	earn,usa
152	earn,usa
153	acq,usa
154	usa
155	usa
156	usa
157	acq,canada
158	usa
159	usa
160	earn,usa
161	usa
162	acq,usa
163	earn,usa
164	earn,canada
165	earn,usa
166	earn,usa
167	earn,canada
168	earn,canada
169	earn,usa
170	usa
171	usa,argentina
172	usa
173	usa
174	usa
175	usa,brazil
176	nat-gas,usa,algeria
177	usa
178	usa,reagan
179	cpi,gnp,switzerland,oecd
180	grain,wheat,usa,ussr,lyng
181	usa,argentina
182	canada
183	earn,usa
184	usa
185	acq,canada
186	acq,canada
187	earn,canada
188	usa
189	crude
190	usa,brazil
191	crude,canada
192	usa
193	grain,corn,usa
194	crude,usa
195	usa
196	earn,canada
197	grain,corn,oat,usa
198	money-supply,new-zealand
199	acq,usa
200	veg-oil,oilseed,meal-feed,soybean,soy-oil,soy-meal,usa
201	earn,usa
202	earn,usa
203	money-supply,usa,volcker
204	canada
205	usa,nyse
206	south-korea,usa
207	usa
208	usa,japan
209	cpi,gnp,france,chirac
210	earn,usa
211	crude,usa
212	earn,usa
213	cpi,japan
214	earn,usa
215	usa
216	money-supply
217	japan
218	usa
219	italy
220	money-supply,new-zealand,russell
221	money-fx,interest,japan
222	uk
223	japan,usa,uk,france,hong-kong
224	taiwan
225	interest,japan
226	japan
227	gnp,bop,australia,keating
228	grain,rice,thailand
229	soybean,red-bean,oilseed,japan
230	philippines,ongpin
231	usa,reagan
232	coffee,uk,colombia,ico-coffee
233	interest,italy
234	uk
235	grain,wheat,rice,veg-oil,soybean,sugar,rubber,copra-cake,corn,palm-oil,palmkernel,coffee,tea,plywood,soy-meal,cotton,indonesia
236	crude,kuwait,ecuador,opec
237	crude,indonesia,usa,worldbank
238	india,gandhi
239	china,japan,worldbank
240	philippines,ongpin
241	grain,wheat,china
242	crude,bahrain,saudi-arabia,opec
243	uk,iran,iraq
244	bangladesh
245	iran,iraq
246	crude,qatar
247	money-fx,bahrain,kuwait,oman,saudi-arabia,qatar,uae
248	crude,bahrain,saudi-arabia,hisham-nazer,opec
249	coffee,uk,brazil,ico-coffee
250	new-zealand
251	hong-kong
252	usa
253	grain,wheat,egypt,canada
254	grain,wheat,indonesia,usa
255	china,usa,ussr
256	money-fx,zambia
257	poland,usa,imf,worldbank
258	new-zealand
259	sugar,indonesia
260	acq,japan
261	egypt,congo
